SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,PROGRAM_TOTAL_Grad_Rate,PROGRAM_PERCENT_Grad_Rate,TOTAL_COUNT_Grad_Rate,direct_cert_perc,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_REV_EXP_VALUE,Federal_Revenues_REV_EXP_VALUE,General Administration_Expenditures_REV_EXP_VALUE,Instruction_Expenditures_REV_EXP_VALUE,Instructional Support_Expenditures_REV_EXP_VALUE,Local_Revenues_REV_EXP_VALUE,Maintenance and Operations_Expenditures_REV_EXP_VALUE,Media_Expenditures_REV_EXP_VALUE,Other_Revenues_REV_EXP_VALUE,Pupil Services_Expenditures_REV_EXP_VALUE,Renovation and Capital Projects_Expenditures_REV_EXP_VALUE,School Administration_Expenditures_REV_EXP_VALUE,School food Services_Expenditures_REV_EXP_VALUE,State Lottery_Revenues_REV_EXP_VALUE,State Other_Revenues_REV_EXP_VALUE,State QBE_Revenues_REV_EXP_VALUE,Transportation_Expenditures_REV_EXP_VALUE,Debt Services_Expenditures_Dollars per FTE,Federal_Revenues_Dollars per FTE,General Administration_Expenditures_Dollars per FTE,Instruction_Expenditures_Dollars per FTE,Instructional Support_Expenditures_Dollars per FTE,Local_Revenues_Dollars per FTE,Maintenance and Operations_Expenditures_Dollars per FTE,Media_Expenditures_Dollars per FTE,Other_Revenues_Dollars per FTE,Pupil Services_Expenditures_Dollars per FTE,Renovation and Capital Projects_Expenditures_Dollars per FTE,School Administration_Expenditures_Dollars per FTE,School food Services_Expenditures_Dollars per FTE,State Lottery_Revenues_Dollars per FTE,State Other_Revenues_Dollars per FTE,State QBE_Revenues_Dollars per FTE,Transportation_Expenditures_Dollars per FTE,SAT Combined Score
601,Appling County,216,87.45,247,44.27784578,21.35454545,3495,38.1,42.2,19.8,18.4,1.2,27.97779112,44.19,0,0,1202.517651,6640.353185,470.9900715,4630.981605,695.6678627,210.8971474,0,379.4004006,0,568.7007868,8.538649499,0,163.7716023,5428.332189,610.5988269,0,0,1258.32,6948.51,492.85,4845.89,727.95,220.68,0,397.01,0,595.09,8.93,0,171.37,5680.25,638.94,1019
602,Atkinson County,114,94.21,121,45.92164419,21.35454545,1664,52.3,36.1,11.7,12.4,2.287288136,37.71775701,48.28,0,2.030288462,349.7423678,5101.272482,343.6907692,1897.81488,618.9060697,154.2380048,0,232.0853846,0,524.2292067,18.2143149,0,192.7782692,8050.057692,481.3111478,0,2.09,360.35,5256.05,354.12,1955.4,637.68,158.92,0,239.13,0,540.13,18.77,0,198.63,8294.3,495.91,1048.509554
761,Atlanta Public Schools,2557,83.13,3076,54.39046893,20,52688,42.4,20,37.6,38.4,2.5,49.58234596,42.22,18.31442492,25.07475251,302.7573539,10643.44272,1018.547592,13168.32464,1451.547594,98.53993908,84.63757573,892.106863,0.037959308,746.9349406,2.466968949,0,77.14039326,3395.080607,561.9403145,19.39,26.55,320.59,11270.41,1078.55,13944.02,1537.05,104.34,89.62,944.66,0.04,790.93,2.61,0,81.68,3595.07,595.04,1086
603,Bacon County,140,95.89,146,46.46464646,21.35454545,2107,28.4,39.9,31.7,29.3,2.287288136,37.61543739,48.94,0,142.1743522,385.3741671,6067.59158,273.0679307,2002.523953,907.732411,155.1594495,15.91585192,605.4641006,0,645.3531182,18.0265496,0,182.1271856,7881.559089,582.4980161,0,148.81,403.37,6350.93,285.82,2096.03,950.12,162.4,16.66,633.74,0,675.49,18.87,0,190.63,8249.6,609.7,1019
604,Baker County,22,91.67,24,61.95652174,21.35454545,306,31.7,46.1,22.2,19.3,2.287288136,35,52.63,0,0,1628.138366,6641.546242,626.3294444,8215.635163,1537.489575,126.1938562,0,493.9987908,0,773.2113725,10.69398693,0,542.7901634,7050.591503,1165.777255,0,0,1805.11,7363.45,694.41,9108.64,1704.61,139.91,0,547.69,0,857.26,11.86,0,601.79,7816.96,1292.49,820
605,Baldwin County,207,84.84,244,59.63127781,18.1,5030,45.8,30,24.2,24.6,2.3,46.6603235,26.92,0,-12.85586481,413.9332724,5519.473396,443.7539264,4039.080439,682.9780934,165.9090378,0,304.4870258,0,669.0320915,9.067900596,0,50.97007753,4847.293042,444.1931093,0,-13.76,443.09,5908.27,475.01,4323.6,731.09,177.6,0,325.94,0,716.16,9.71,0,54.56,5188.74,475.48,990
606,Banks County,175,88.83,197,27.0993766,20.6,2888,37.2,40.8,22,22.2,3.5,23.4747229,48.9,0,0,258.9882445,6511.068556,447.3737742,3617.568355,548.7500277,146.9360111,0,333.0954155,0,507.3799515,9.022209141,0,375.8159037,6184.00554,667.7800866,0,0,269.15,6766.45,464.92,3759.46,570.27,152.7,0,346.16,0,527.28,9.38,0,390.56,6426.56,693.97,1078
607,Barrow County,814,90.95,895,24.72034148,21.4,14780,24.6,36.1,39.4,39.4,3.3,43.48834863,48.19,0,2.926522327,209.4531942,5914.734358,417.4702246,3657.928078,519.9962605,152.0835947,0,406.9353329,0,587.2197815,4.858102842,0,103.6216103,5947.488633,592.0658681,0,3.1,221.99,6268.9,442.47,3876.96,551.13,161.19,0,431.3,0,622.38,5.15,0,109.83,6303.61,627.52,1053
608,Bartow County,867,93.63,926,29.8700288,21.4,13947,37,37.5,25.4,25.1,1.5,32.19234807,53.48,0,13.66834445,157.7970395,6565.135854,191.5550929,4892.114219,735.4108747,141.9520872,51.43471714,405.7028135,0,725.4126063,5.171563777,0,109.2107693,5176.880835,347.7883839,0,14.6,168.51,7011.02,204.56,5224.37,785.36,151.59,54.93,433.26,0,774.68,5.52,0,116.63,5528.48,371.41,1051
609,Ben Hill County,180,84.51,213,49.20578892,21.35454545,3064,38,37.1,24.8,25.1,3.2,37.71908764,41.28,0,0,569.5834987,4791.778512,90.55329308,2550.77748,669.1354569,94.54,0,289.6924282,0,724.27875,9.928097258,0,166.3318505,7233.583877,320.0278198,0,0,608.3,5117.47,96.71,2724.15,714.62,100.97,0,309.38,0,773.51,10.6,0,177.64,7725.24,341.78,955
610,Berrien County,189,89.57,211,40.36729037,20,3171,19.6,37.2,43.1,41.7,3.8,30.72927073,48.69,0,0,272.8772312,5219.194787,292.1919458,2023.229871,538.9974929,150.3117534,8.889637338,235.6657679,0,490.1238568,7.051611479,0,131.8053705,6558.609902,365.2616367,0,0,297.15,5683.4,318.18,2203.18,586.94,163.68,9.68,256.63,0,533.72,7.68,0,143.53,7141.95,397.75,1040
611,Bibb County,1085,80.67,1345,61.4123029,18.5,22542,22.4,26.8,50.8,53.7,2.9,49.3416568,31.63,29.6075987,73.65883506,172.5129767,5436.693958,559.5586807,4225.284087,823.9502595,184.7557102,6.412356934,291.7270739,0,739.7264573,5.354539526,0,93.01436785,5195.794961,340.8698261,32.33,80.42,188.36,5935.97,610.95,4613.31,899.62,201.72,7,318.52,0,807.66,5.85,0,101.56,5672.94,372.17,975
612,Bleckley County,158,92.94,170,32.76006711,21.35454545,2534,66,27.8,6.2,5.6,2.287288136,26.62112191,46.05,0,33.01030387,374.7413812,5670.149534,161.7844199,1987.18747,620.35691,122.7247238,0,387.4446409,0,622.4573915,11.73353197,0,138.2721902,7375.756117,761.3516298,0,34.67,393.53,5954.48,169.9,2086.84,651.46,128.88,0,406.87,0,653.67,12.32,0,145.21,7745.61,799.53,1149
613,Brantley County,206,94.06,219,41.76819744,19.8,3477,39.4,36,24.6,23.8,1.7,23.429124,39.71,0,0,218.4215703,5487.356324,264.3440552,1836.846598,942.4816624,200.0722951,0,354.4112166,0,477.1402013,9.478932988,0,232.4179523,7688.625122,741.736937,0,0,237.03,5954.91,286.87,1993.36,1022.79,217.12,0,384.61,0,517.8,10.29,0,252.22,8343.74,804.94,1110
763,Bremen City,161,97.58,165,13.05919566,20.7,2279,61.8,32.1,6.1,5,2.287288136,15.6667874,75.78,0,62.78482668,506.3639403,6038.533817,177.6979289,2754.139487,807.420939,149.6102326,0,349.9337473,0,594.0511057,5.795283019,0,61.04069767,7002.2681,59.6078982,0,63.94,515.64,6149.16,180.95,2804.6,822.21,152.35,0,356.34,0,604.93,5.9,0,62.16,7130.55,60.7,1097
614,Brooks County,126,87.5,144,56.73996176,21.35454545,2266,37.8,35.1,27.1,28.6,2.287288136,52.88741172,24.59,0,0,850.4016461,5514.87222,124.1280362,4157.159903,1007.476156,189.2198147,0,648.9810503,126.3969726,582.051474,10.31637246,0,457.3038791,5908.779788,624.9690644,0,0,907.26,5883.57,132.43,4435.09,1074.83,201.87,0,692.37,134.85,620.96,11.01,0,487.88,6303.81,666.75,925
615,Bryan County,654,93.43,700,14.73181094,22.7,10114,56.2,31.9,12,12.9,1.5,43.50919043,48.29,0,133.4065078,209.9862517,5426.491957,376.179558,2900.823545,747.4638966,152.4229573,7.192273087,335.9775974,0,615.4778218,3.047196955,0,74.06354261,5693.618549,422.707545,0,141.46,222.67,5754.2,398.9,3076,792.6,161.63,7.63,356.27,0,652.65,3.23,0,78.54,6037.46,448.23,1095
764,Buford City,349,95.88,364,13.05305673,25.2,5664,52.8,33.1,14.1,12.4,2.287288136,35.30148786,68.27,0,0,801.2799435,6834.24804,51.41349223,5927.660132,790.237154,136.3128602,0,502.5635222,0,717.042417,1.99220339,0,101.6278867,4499.064795,308.3586388,0,0,814.51,6947.09,52.26,6025.53,803.28,138.56,0,510.86,0,728.88,2.03,0,103.31,4573.35,313.45,1165
616,Bulloch County,644,83.42,772,39.9557437,21.6,11381,51.1,32.9,16.1,17.7,3.8,31.76506671,46.41,0,0,120.1866875,4597.730151,283.5948317,3611.343202,746.6012161,134.5868685,0.263597223,616.6436447,2.032070996,678.5212846,6.596899218,0,101.8823733,5652.14243,504.0935761,0,0,131.21,5019.35,309.6,3942.51,815.07,146.93,0.29,673.19,2.22,740.74,7.2,0,111.23,6170.46,550.32,1100
617,Burke County,280,87.5,320,53.18664643,21.4,4191,67.7,21.2,11.1,12.2,2.287288136,28.34791386,30.5,0,2.046499642,726.7866929,7697.807592,285.8240253,17988.08977,1102.873737,172.3550585,0,405.252472,0,859.5738583,5.087897876,0,142.7106466,2118.986638,1294.138607,0,2.14,761.68,8067.39,299.55,18851.73,1155.82,180.63,0,424.71,0,900.84,5.33,0,149.56,2220.72,1356.27,1053
618,Butts County,216,89.26,242,42.57848217,22.2,3552,53.5,32,14.5,15.9,2,33.99588759,51.4,0,2.380349099,350.0157207,5303.492432,402.4629026,3854.393218,462.9403941,138.4523255,0,460.4149521,0,810.7467342,12.03667511,0,155.6069904,5175.60473,216.5170327,0,2.57,378.35,5732.81,435.04,4166.4,500.42,149.66,0,497.69,0,876.38,13.01,0,168.2,5594.57,234.04,1066
765,Calhoun City,273,100,273,27.91929382,20.2,4142,46.1,38.1,15.8,13.6,2.287288136,34.48112087,58.74,13.34222115,34.93732738,253.153438,4824.60049,381.3162482,3944.714614,693.3938267,78.89639788,1.207146306,509.2236915,0,541.993141,7.858573153,0,94.63356108,5241.732738,278.4659126,13.32,34.89,252.79,4817.62,380.76,3939.01,692.39,78.78,1.21,508.49,0,541.21,7.85,0,94.5,5234.15,278.06,1094
619,Calhoun County,38,88.37,43,68.4434968,21.35454545,499,36.1,27.9,36.1,37.9,2.287288136,69.85536934,39.47,0,0,1617.755671,6148.144549,439.9086172,6319.979178,1256.316513,152.4240481,0,299.4008016,0,1212.613988,9.698797595,0,333.6281964,7132.328657,996.1284369,0,0,1710.3,6499.84,465.07,6681.5,1328.18,161.14,0,316.53,0,1281.98,10.25,0,352.71,7540.32,1053.11,1048.509554
620,Camden County,538,92.12,584,25.09861377,21.7,9754,52.1,33.3,14.6,14.6,2.1,34.64744124,52.71,0,486.1681382,124.9303619,4967.75703,611.2401046,2900.21097,651.7311247,170.318172,0,391.3794833,0,616.2196637,4.461416855,0,91.4053332,5818.817203,383.6878194,0,531.03,136.46,5426.15,667.64,3167.82,711.87,186.03,0,427.49,0,673.08,4.87,0,99.84,6355.74,419.09,1073
621,Candler County,149,94.9,157,48.71550904,21.35454545,2297,57.6,31.1,11.3,12.4,2.287288136,41.28463476,44.22,0,16.68262952,287.8059425,5346.327732,168.4730475,2382.486239,594.7339399,131.0942969,1.673082281,307.0040575,0,613.3936613,6.291249456,0,160.5721027,6215.137135,516.5895298,0,18.05,311.39,5784.51,182.28,2577.75,643.48,141.84,1.81,332.17,0,663.67,6.81,0,173.73,6724.53,558.93,973
622,Carroll County,944,93.37,1011,34.7599889,20.1,15614,33.3,37.3,29.4,30.8,1.9,37.15808944,56.37,12.87665941,6.012247342,175.5680415,5891.425634,244.0161637,3001.112105,633.7516492,156.8619495,1.157459972,357.1033508,0,714.6241789,5.080108236,0,140.992248,6134.317087,501.8141738,13.79,6.44,187.99,6308.37,261.29,3213.51,678.6,167.96,1.24,382.38,0,765.2,5.44,0,150.97,6568.46,537.33,1047
766,Carrollton City,407,91.05,447,33.58866335,22.1,5495,39.4,37.9,22.7,22.7,1.6,34.79613558,67.87,0,72.68462784,251.4987243,5291.771476,228.6915687,3339.297352,466.8326515,97.01709372,0,147.7844786,0,719.6206369,8.404940855,0,60.2004131,5269.571247,88.66287716,0,75.25,260.36,5478.2,236.75,3456.94,483.28,100.43,0,152.99,0,744.97,8.7,0,62.32,5455.22,91.79,1086
767,Cartersville City,313,91.25,343,26.57026661,21.5,4669,58.6,32.8,8.6,8.8,2.6,33.8781575,63.61,0,0,303.012069,6091.614828,496.9692675,4411.61912,564.0926558,69.4766224,5.254872564,527.2026815,0,543.3838745,6.350618976,0,84.06336689,4945.06661,428.2599079,0,0,311.21,6256.43,510.42,4530.98,579.36,71.36,5.4,541.47,0,558.09,6.52,0,86.34,5078.86,439.85,1084
623,Catoosa County,724,88.19,821,25.8539918,21.7,10851,60.7,30.2,9.1,9.8,1.7,24.58386795,52.93,0,41.15818266,210.2971477,6882.030958,322.8449912,3340.902478,808.7769616,156.7228265,3.202067091,494.7721519,0,760.6023537,5.611542715,0,115.3169219,6904.650263,509.6540595,0,43.45,222.02,7265.71,340.84,3527.16,853.87,165.46,3.38,522.36,0,803.01,5.92,0,121.75,7289.59,538.07,1157
624,Charlton County,89,95.7,93,37.94191919,21.35454545,1715,45.5,36.6,17.9,16.9,2.287288136,28.2731569,51.14,0,61.28892128,837.1660408,4434.815802,250.5053819,3297.05172,702.6860758,276.5900933,0,418.6351079,0,745.3419767,11.35020991,0,151.3923207,6493.428571,586.2044082,0,66.15,903.55,4786.48,270.37,3558.49,758.41,298.52,0,451.83,0,804.44,12.25,0,163.4,7008.33,632.69,1041
626,Chattahoochee County,87,93.55,93,30.87557604,21.35454545,973,52.3,41.3,6.4,8.8,2.287288136,55.86242884,37.78,0,1450.530647,1042.087975,4880.17815,196.8102158,1717.190781,883.7649126,104.2438541,0,368.498407,0,786.936372,8.578633094,0,555.8821172,7266.797533,460.5804214,0,1607.48,1154.84,5408.22,218.11,1902.99,979.39,115.52,0,408.37,0,872.08,9.51,0,616.03,8053.07,510.42,1048.509554
627,Chattooga County,121,79.61,152,53.45309381,20.5,2700,21.1,35.2,43.7,40,4.5,35.57712456,45.6,0,2.801851852,314.8824667,6262.513596,435.8797926,3024.499515,727.0792889,189.233963,2.724277778,354.5693963,0,672.6216222,10.42064444,0,169.431237,6882.821111,257.9560852,0,3,336.84,6699.2,466.27,3235.4,777.78,202.43,2.91,379.29,0,719.52,11.15,0,181.25,7362.76,275.94,1048.509554
628,Cherokee County,2917,90.82,3212,12.46599848,23.8,43636,36.8,36.7,26.5,24.7,1.6,29.57829896,61.84,0.26965831,4.562521771,140.6051769,6618.099773,500.6838603,4826.173169,696.9285514,112.9491869,15.20164658,404.3102853,5.850975571,616.7754732,10.83682922,0,108.225259,5026.315428,522.4193952,0.28,4.74,146.01,6872.29,519.91,5011.54,723.7,117.29,15.79,419.84,6.08,640.46,11.25,0,112.38,5219.37,542.48,1129
769,Chickamauga City,102,100,102,10.54718477,21.4,1297,65.9,28.2,5.9,5,2.287288136,18.04156328,67.33,0,1.996260601,627.0895991,5496.768882,147.404495,2249.572436,1087.158358,159.6159753,5.34309946,415.2396762,0,713.5062914,9.573153431,0,60.6841249,6933.399383,121.2254742,0,2.05,642.44,5631.37,151.01,2304.66,1113.78,163.52,5.47,425.41,0,730.98,9.81,0,62.17,7103.17,124.19,1048.509554
629,Clarke County,629,79.82,788,44.53554222,22.6,12634,49.6,22.9,27.5,30.3,2.2,47.17313728,46.29,0,5.715227165,268.488941,7751.207902,861.1912973,7807.834099,1054.747362,160.068003,0,578.1739758,0,782.9230521,6.066868767,0,138.6038388,5588.566012,552.4010955,0,5.94,278.82,8049.38,894.32,8108.18,1095.32,166.23,0,600.42,0,813.04,6.3,0,143.94,5803.55,573.65,1069
630,Clay County,0,0,0,84.06593407,21.35454545,185,37.8,33,29.2,26.5,2.287288136,61.26819923,0,0,792.5189189,2282.986324,7558.102162,1262.377027,9176.044378,1705.382973,421.7525946,0,657.8732432,0,2362.804703,464.6631892,0,808.2591351,9055.47027,1634.198486,0,788.26,2270.71,7517.47,1255.59,9126.71,1696.21,419.49,0,654.34,0,2350.1,462.17,0,803.91,9006.78,1625.41,1048.509554
631,Clayton County,2859,75.98,3763,51.19925302,19.2,55318,51.8,22,26.2,26.9,4.7,42.1119403,36.24,0,11.02213222,219.9595159,5460.670216,659.1990412,3224.765445,510.7228493,119.8885272,0,392.3920286,0,639.7932901,4.828816841,0,33.74052261,5941.795148,149.5054915,0,11.51,229.63,5700.79,688.19,3366.57,533.18,125.16,0,409.65,0,667.93,5.04,0,35.22,6203.07,156.08,977
632,Clinch County,76,86.36,88,44.77124183,21.35454545,1307,45.9,40.4,13.7,13.3,2.7,27.35911271,38.67,0,2.054705432,433.6088982,5734.702089,318.3829992,4702.775991,911.992961,159.8307116,0,751.3244912,0,468.1981637,8.23517215,0,146.622632,6469.157613,582.0395256,0,2.18,460.01,6083.81,337.77,4989.07,967.51,169.56,0,797.06,0,496.7,8.74,0,155.55,6862.98,617.47,939
633,Cobb County,7791,87.2,8935,19.47177385,24.3,114145,68.5,19.8,11.7,13.2,3.2,30.41117499,57.9,0,46.32030882,187.5399433,6440.257431,372.4471414,5453.804715,669.0293141,150.497846,2.093981164,287.8234167,15.84589776,672.0271711,4.179445267,0,81.10372149,4816.740672,425.1916949,0,48.16,195,6696.33,387.26,5670.66,695.63,156.48,2.18,299.27,16.48,698.75,4.35,0,84.33,5008.26,442.1,1144
634,Coffee County,422,88.66,476,49.51185495,19.8,7743,45.4,36.5,18.1,18.3,1.7,32.35698492,50.69,0,90.68028413,207.0461449,5810.194953,351.5495183,2184.940176,612.9491179,189.0317048,3.560041328,523.6670347,0,540.1149516,6.952799948,0,106.0855082,6802.037841,455.0622666,0,95.74,218.59,6134.22,371.15,2306.79,647.13,199.57,3.76,552.87,0,570.24,7.34,0,112,7181.37,480.44,1027
635,Colquitt County,485,84.2,576,48.96703807,20.6,9112,39.9,37.1,22.9,21.6,1.5,36.84331618,42.53,0,14.98189201,277.1100307,6386.048952,370.1349616,2242.272242,778.4470961,172.7487676,33.00660009,641.0612127,0,624.9013389,20.51536106,0,148.9958176,7979.112599,402.5447904,0,15.33,283.49,6533.03,378.65,2293.88,796.36,176.72,33.77,655.82,0,639.28,20.99,0,152.43,8162.76,411.81,1060
636,Columbia County,1914,92.33,2073,14.7369936,23.9,29661,49.6,35.2,15.2,12.3,1.5,33.58732411,54.45,0,30.33925289,93.60361215,6007.882327,345.8887108,3870.169155,716.7176572,152.8214669,0,193.3375834,0.141195509,560.9543835,4.226187249,0,78.48050369,5118.221429,361.291326,0,32.24,99.46,6383.66,367.52,4112.24,761.55,162.38,0,205.43,0.15,596.04,4.49,0,83.39,5438.35,383.89,1113
771,Commerce City,116,95.87,121,25.83182093,21.35454545,1739,47.4,39.2,13.4,12.6,2.287288136,41.62280702,57.26,0,12.40607246,411.0608051,6148.835842,281.737211,3478.388798,570.9210236,207.6090512,0,415.8324784,0,635.180483,29.83757907,0,77.01871765,7301.194365,290.2819379,0,12.76,422.73,6323.37,289.73,3577.12,587.13,213.5,0,427.64,0,653.21,30.68,0,79.2,7508.44,298.52,1108
637,Cook County,202,95.73,211,46.53198653,21.35454545,3164,40.4,38.6,21,19.9,1.1,34.74499089,42.57,5.828871681,0,466.7736662,5585.896776,174.9695765,2442.489488,631.6775126,137.8831448,0,450.479665,0,640.4100126,4.028953856,0,118.6886346,6828.979772,499.0005183,6.13,0,490.82,5873.64,183.98,2568.31,664.22,144.99,0,473.68,0,673.4,4.24,0,124.8,7180.76,524.71,1006
638,Coweta County,1610,89.3,1803,23.94320749,22.6,23427,66,24.5,9.4,9.4,2.7,26.82985845,51.85,0,0,90.82184531,6288.765868,236.7576143,4765.005156,596.7125624,136.4499761,4.924344133,404.9183353,0,753.9133991,5.230443932,0,59.88695181,4804.197379,431.2033756,0,0,96.86,6707.04,252.5,5081.93,636.4,145.53,5.25,431.85,0,804.06,5.58,0,63.87,5123.73,459.88,1116
639,Crawford County,87,70.73,123,42.03174603,21.35454545,1713,37.2,38.5,24.3,24.3,2.9,42.3255814,37.78,0,32.9056509,582.1021308,5876.562183,83.39924694,2915.786883,756.6394104,145.3943608,0,427.8630648,0,723.4516112,8.213934618,0,186.5521308,5629.181553,505.4656334,0,35.27,623.99,6299.47,89.4,3125.62,811.09,155.86,0,458.65,0,775.51,8.81,0,199.98,6034.29,541.84,1027
640,Crisp County,230,85.82,268,57.60407816,21.35454545,3763,38.2,31.7,30.1,29.3,3.9,35.72704082,34.65,0,0,326.0495137,5882.803492,332.836144,3237.115161,501.9996014,190.0427584,0,435.5519373,0,695.3188387,8.10462397,0,184.8127425,6675.525644,561.820109,0,0,345.13,6227,352.31,3426.52,531.37,201.16,0,461.04,0,736,8.58,0,195.63,7066.1,594.69,991
641,Dade County,132,84.08,157,25.10060362,20.3,2098,53.1,35,11.9,10.2,2.287288136,32.27146814,55.22,0,0,461.4411439,6548.921063,181.1523356,3783.504261,790.9548427,194.5057674,0,300.9798093,0,751.2456196,8.312345091,0,129.5456673,5978.924214,250.3800286,0,0,485.26,6887.04,190.51,3978.84,831.79,204.55,0,316.52,0,790.03,8.74,0,136.23,6287.61,263.31,1026
772,Dalton Public Schools,461,85.06,542,26.18339194,23.4,7798,59.6,30.9,9.6,9.5,4.2,32.89996545,51.57,0,161.6833624,190.8574468,6985.037528,586.4805655,4217.110605,748.7216479,172.1414042,1.476024622,375.7952706,0,646.9590882,0,0,87.80132085,6185.864581,370.685395,0,160.61,189.59,6938.77,582.6,4189.18,743.76,171,1.47,373.31,0,642.67,0,0,87.22,6144.89,368.23,1047
642,Dawson County,239,95.6,250,22.48322148,20.6,3802,41.3,41.6,17.1,16.5,1.1,31.25494689,58.68,0,6.656512362,282.1565676,6735.784637,844.2366649,7174.046988,877.988585,186.2419542,0,446.2193109,0,772.0808285,12.87450289,0,95.15602841,4777.762493,590.5654129,0,7.01,297.33,7097.96,889.63,7559.79,925.2,196.26,0,470.21,0,813.6,13.57,0,100.27,5034.66,622.32,1051
773,Decatur City,355,96.73,367,8.096085409,26.1,5750,88.7,8.6,2.7,2.5,2.287288136,43.11928144,76.22,52.98706435,13.32869565,496.7599635,9064.20184,814.7723913,7655.268565,1214.352991,239.8828017,13.25483304,818.9832313,0,1073.632842,143.40124,0,61.13960696,5352.100174,250.5921809,54.15,13.62,507.62,9262.34,832.58,7822.6,1240.9,245.13,13.54,836.89,0,1097.1,146.54,0,62.48,5469.09,256.07,1270
643,Decatur County,335,88.86,377,50.11753644,18.4,4709,39.5,34.1,26.4,28.8,1.1,32.27711915,36.61,0,6.983510299,145.745893,3806.031353,237.4617498,3820.485562,960.8684031,237.2677617,0,457.7284137,0,611.7784413,9.966882565,0,131.6973965,5966.050542,497.3472712,0,7.57,157.96,4124.88,257.35,4140.54,1041.36,257.14,0,496.07,0,663.03,10.8,0,142.73,6465.85,539.01,1023
644,DeKalb County,5016,75.41,6652,42.9704168,22.4,98083,58.2,19.3,22.6,23.3,4.9,38.44276129,47.67,0,0,529.4657011,7359.642939,348.4746397,6703.101437,1038.079555,141.4392332,0.145292252,644.9588669,0.027109693,731.4785045,3.500091045,0,82.15514972,5151.356586,474.63241,0,0,547.4,7608.98,360.28,6930.19,1073.25,146.23,0.15,666.81,0.03,756.26,3.62,0,84.94,5325.88,490.71,1100
645,Dodge County,210,90.91,231,48.01393728,21.35454545,3045,53.4,35.1,11.6,13.3,1.4,30.69854227,53.77,0,0,270.7646043,6161.332837,240.0203186,2316.989606,531.8757373,169.5235074,0,514.3167126,0,456.5081576,22.00984893,0,134.5067685,7852.299507,473.6760099,0,0,287.68,6546.15,255.01,2461.7,565.09,180.11,0,546.44,0,485.02,23.38,0,142.91,8342.73,503.26,1083
646,Dooly County,86,87.76,98,64.23487544,21.35454545,1210,28,26.6,45.4,43.7,2.287288136,44.18406476,21.59,0,1.47107438,691.6001157,4480.653083,587.9023058,4747.137446,767.2249008,199.4173719,0,261.5712893,0,803.2839091,11.10768595,0,229.8167769,4720.14876,487.815405,0,1.53,718.93,4657.72,611.14,4934.74,797.54,207.3,0,271.91,0,835.03,11.55,0,238.9,4906.68,507.09,1048.509554
647,Dougherty County,707,86.22,820,67.56735951,19.4,13806,54.5,20.7,24.8,25.3,0.9,39.63935045,30.64,0,15.62877372,323.658907,5343.040986,868.1167456,3457.793948,909.7578734,165.9392373,2.903549906,407.3111756,0,753.5182776,5.799876141,0,73.24637694,6658.848906,221.9375395,0,16.47,341.15,5631.85,915.04,3644.7,958.93,174.91,3.06,429.33,0,794.25,6.11,0,77.21,7018.79,233.93,954
